scenario,fish,host,weight,group,D_env_host,I_env_host,D_comb_host,I_comb_host
ssp585_2100,Amphiprion_tricinctus,Entacmaea_quadricolor,0.22,generalist,0.3675207645942443,0.7177893753453835,0.5480379815753866,0.8721246840266568
ssp585_2100,Amphiprion_akallopisos,Heteractis_magnifica,0.94,specialist,0.7497297729016716,0.9509345456979357,0.7533771338294645,0.9555957188525075
ssp585_2100,Amphiprion_akindynos,Heteractis_magnifica,0.02,generalist,0.3346263893614947,0.6168251400247866,0.2940945753199302,0.5401527531797777
ssp585_2100,Amphiprion_allardi,Heteractis_magnifica,0.11,generalist,0.5084449094693573,0.8085769435634053,0.6424079043274469,0.8848166425287779
ssp585_2100,Amphiprion_chrysogaster,Heteractis_magnifica,0.32,generalist,0.45851534472948474,0.7580821785655867,0.43174579252344036,0.7244724261450827
ssp585_2100,Amphiprion_latifasciatus,Heteractis_magnifica,0.08,generalist,0.5298266779770313,0.7705358533347947,0.6438879903192871,0.8558836068614591
ssp585_2100,Amphiprion_leucokranos,Heteractis_magnifica,0.14,generalist,0.6506247300725128,0.896392946045521,0.7487878490009718,0.9529418282717252
ssp585_2100,Amphiprion_nigripes,Heteractis_magnifica,1,specialist,0.6573566971737307,0.8609565753062003,0.6222096021683867,0.8624570157278052
ssp585_2100,Amphiprion_ocellaris,Heteractis_magnifica,0.85,specialist,0.5233371416161184,0.8121915661695035,0.5806449762051864,0.8531894161805218
ssp585_2100,Amphiprion_percula,Heteractis_magnifica,0.81,specialist,0.5661272130735004,0.8694115442621096,0.5819312640178951,0.8668314937513498
ssp585_2100,Amphiprion_tricinctus,Heteractis_magnifica,0.03,generalist,0.4238940159297011,0.7348360161290319,0.609736694168317,0.8880112338654083
ssp585_2100,Amphiprion_akindynos,Heteractis_crispa,0.15,generalist,0.4133250481644718,0.6949479651483659,0.3391199634262072,0.585812996425071
ssp585_2100,Amphiprion_allardi,Heteractis_crispa,0.01,generalist,0.5451165165115914,0.8334922888660696,0.6557511425008804,0.8940826327889392
ssp585_2100,Amphiprion_fuscocaudatus,Heteractis_crispa,0.05,generalist,0.2799786176270901,0.5466804655358127,0.40076582753935586,0.6866435754566548
ssp585_2100,Amphiprion_leucokranos,Heteractis_crispa,0.43,generalist,0.6537549011296389,0.8986573830018318,0.7089816241532426,0.9438095334796727
ssp585_2100,Amphiprion_melanopus,Heteractis_crispa,0.02,specialist,0.630242057647004,0.8847391345338932,0.6434870123774777,0.9000376579406605
ssp585_2100,Amphiprion_sebae,Heteractis_crispa,0.11,generalist,0.740294183510785,0.9370485096972496,0.7819778140045229,0.9572246282801937
ssp585_2100,Amphiprion_akindynos,Heteractis_aurora,0.01,generalist,0.4181551461654124,0.6934872458055531,0.3595513379681876,0.6252373047903538
ssp585_2100,Amphiprion_allardi,Heteractis_aurora,0.07,generalist,0.579793570579586,0.8582788426189903,0.6677822597697263,0.907892838877143
ssp585_2100,Amphiprion_fuscocaudatus,Heteractis_aurora,0.25,generalist,0.3502035167002697,0.6390950169874414,0.4779906412509092,0.770753249209249
ssp585_2100,Amphiprion_latifasciatus,Heteractis_aurora,0.13,generalist,0.47579256555989824,0.7351112643414607,0.5676448640727976,0.8202340412062592
