species,model_type,iter,fold,auc
Amphiprion_allardi,HostOnly,40,4,0.961
Amphiprion_bicinctus,Combined,1,2,0.982
Amphiprion_bicinctus,Combined,2,4,0.998
Amphiprion_bicinctus,Combined,3,2,0.979
Amphiprion_bicinctus,Combined,4,4,0.998
Amphiprion_bicinctus,Combined,5,2,0.982
Amphiprion_bicinctus,Combined,6,4,0.998
Amphiprion_bicinctus,Combined,7,2,0.982
Amphiprion_bicinctus,Combined,8,4,0.998
Amphiprion_bicinctus,Combined,9,2,0.979
Amphiprion_bicinctus,Combined,10,4,0.998
Amphiprion_bicinctus,Combined,11,2,0.981
Amphiprion_bicinctus,Combined,12,4,0.998
Amphiprion_bicinctus,Combined,13,2,0.983
Amphiprion_bicinctus,Combined,14,4,0.998
Amphiprion_bicinctus,Combined,15,2,0.983
Amphiprion_bicinctus,Combined,16,4,0.998
Amphiprion_bicinctus,Combined,17,2,0.984
Amphiprion_bicinctus,Combined,18,4,0.998
Amphiprion_bicinctus,Combined,19,2,0.98
Amphiprion_bicinctus,Combined,20,4,0.998
Amphiprion_bicinctus,Combined,21,2,0.985
Amphiprion_bicinctus,Combined,22,4,0.998
Amphiprion_bicinctus,Combined,23,2,0.983
Amphiprion_bicinctus,Combined,24,4,0.998
Amphiprion_bicinctus,Combined,25,2,0.984
Amphiprion_bicinctus,Combined,26,4,0.998
Amphiprion_bicinctus,Combined,27,2,0.978
Amphiprion_bicinctus,Combined,28,4,0.998
Amphiprion_bicinctus,Combined,29,2,0.981
Amphiprion_bicinctus,Combined,30,4,0.998
Amphiprion_bicinctus,Combined,31,2,0.98
Amphiprion_bicinctus,Combined,32,4,0.998
Amphiprion_bicinctus,Combined,33,2,0.981
Amphiprion_bicinctus,Combined,34,4,0.998
Amphiprion_bicinctus,Combined,35,2,0.978
Amphiprion_bicinctus,Combined,36,4,0.998
Amphiprion_bicinctus,Combined,37,2,0.986
Amphiprion_bicinctus,Combined,38,4,0.998
Amphiprion_bicinctus,Combined,39,2,0.98
Amphiprion_bicinctus,Combined,40,4,0.998
Amphiprion_bicinctus,EnvOnly,1,2,0.98
Amphiprion_bicinctus,EnvOnly,2,4,0.998
Amphiprion_bicinctus,EnvOnly,3,2,0.976
Amphiprion_bicinctus,EnvOnly,4,4,0.998
Amphiprion_bicinctus,EnvOnly,5,2,0.975
Amphiprion_bicinctus,EnvOnly,6,4,0.998
Amphiprion_bicinctus,EnvOnly,7,2,0.98
Amphiprion_bicinctus,EnvOnly,8,4,0.998
Amphiprion_bicinctus,EnvOnly,9,2,0.979
Amphiprion_bicinctus,EnvOnly,10,4,0.997
Amphiprion_bicinctus,EnvOnly,11,2,0.981
